i,j,k,x_center_m,y_center_m,z_center_m,temperature_k
26,11,1,0.025500000000000002,0.0105,0.0005,300.00001760930076
27,11,1,0.0265,0.0105,0.0005,300.0000050788935
28,11,1,0.0275,0.0105,0.0005,300.0000013955357
29,11,1,0.0285,0.0105,0.0005,300.00000036542866
30,11,1,0.029500000000000002,0.0105,0.0005,300.0000000912208
31,11,1,0.0305,0.0105,0.0005,300.00000002174033
32,11,1,0.0315,0.0105,0.0005,300.0000000052829
1,12,1,0.0005,0.0115,0.0005,338.44461923058236
2,12,1,0.0015,0.0115,0.0005,336.8654279555567
3,12,1,0.0025,0.0115,0.0005,334.5377192982859
4,12,1,0.0035,0.0115,0.0005,331.42524726858727
5,12,1,0.0045000000000000005,0.0115,0.0005,327.61629454478265
6,12,1,0.0055,0.0115,0.0005,323.3257711463436
7,12,1,0.006500000000000001,0.0115,0.0005,318.85915605813875
8,12,1,0.0075,0.0115,0.0005,314.54833446728577
9,12,1,0.0085,0.0115,0.0005,310.6814611112626
10,12,1,0.0095,0.0115,0.0005,307.45051868608357
11,12,1,0.0105,0.0115,0.0005,304.93101043433694
12,12,1,0.0115,0.0115,0.0005,303.0940754028103
13,12,1,0.0125,0.0115,0.0005,301.83983545715586
14,12,1,0.0135,0.0115,0.0005,301.03659263167657
15,12,1,0.0145,0.0115,0.0005,300.5533978890359
16,12,1,0.0155,0.0115,0.0005,300.27999746088653
17,12,1,0.0165,0.0115,0.0005,300.134305522925
18,12,1,0.0175,0.0115,0.0005,300.0610980003903
19,12,1,0.0185,0.0115,0.0005,300.0263721905953
20,12,1,0.0195,0.0115,0.0005,300.0108058206494
21,12,1,0.0205,0.0115,0.0005,300.00420508116014
22,12,1,0.021500000000000002,0.0115,0.0005,300.0015549264832
23,12,1,0.0225,0.0115,0.0005,300.0005466065043
24,12,1,0.0235,0.0115,0.0005,300.0001827567361
25,12,1,0.0245,0.0115,0.0005,300.00005814347463
26,12,1,0.025500000000000002,0.0115,0.0005,300.00001760930076
27,12,1,0.0265,0.0115,0.0005,300.0000050788935
28,12,1,0.0275,0.0115,0.0005,300.0000013955357
29,12,1,0.0285,0.0115,0.0005,300.00000036542866
30,12,1,0.029500000000000002,0.0115,0.0005,300.0000000912208
31,12,1,0.0305,0.0115,0.0005,300.00000002174033
32,12,1,0.0315,0.0115,0.0005,300.0000000052829
1,13,1,0.0005,0.0125,0.0005,338.44461923058236
2,13,1,0.0015,0.0125,0.0005,336.8654279555567
3,13,1,0.0025,0.0125,0.0005,334.5377192982859
4,13,1,0.0035,0.0125,0.0005,331.42524726858727
5,13,1,0.0045000000000000005,0.0125,0.0005,327.61629454478265
6,13,1,0.0055,0.0125,0.0005,323.3257711463436
7,13,1,0.006500000000000001,0.0125,0.0005,318.85915605813875
8,13,1,0.0075,0.0125,0.0005,314.54833446728577
9,13,1,0.0085,0.0125,0.0005,310.6814611112626
10,13,1,0.0095,0.0125,0.0005,307.45051868608357
11,13,1,0.0105,0.0125,0.0005,304.93101043433694
12,13,1,0.0115,0.0125,0.0005,303.0940754028103
13,13,1,0.0125,0.0125,0.0005,301.83983545715586
14,13,1,0.0135,0.0125,0.0005,301.03659263167657
15,13,1,0.0145,0.0125,0.0005,300.5533978890359
16,13,1,0.0155,0.0125,0.0005,300.27999746088653
17,13,1,0.0165,0.0125,0.0005,300.134305522925
18,13,1,0.0175,0.0125,0.0005,300.0610980003903
19,13,1,0.0185,0.0125,0.0005,300.0263721905953
20,13,1,0.0195,0.0125,0.0005,300.0108058206494
21,13,1,0.0205,0.0125,0.0005,300.00420508116014
22,13,1,0.021500000000000002,0.0125,0.0005,300.0015549264832
23,13,1,0.0225,0.0125,0.0005,300.0005466065043
24,13,1,0.0235,0.0125,0.0005,300.0001827567361
25,13,1,0.0245,0.0125,0.0005,300.00005814347463
26,13,1,0.025500000000000002,0.0125,0.0005,300.00001760930076
27,13,1,0.0265,0.0125,0.0005,300.0000050788935
28,13,1,0.0275,0.0125,0.0005,300.0000013955357
29,13,1,0.0285,0.0125,0.0005,300.00000036542866
30,13,1,0.029500000000000002,0.0125,0.0005,300.0000000912208
31,13,1,0.0305,0.0125,0.0005,300.00000002174033
32,13,1,0.0315,0.0125,0.0005,300.0000000052829
1,14,1,0.0005,0.0135,0.0005,338.44461923058236
2,14,1,0.0015,0.0135,0.0005,336.8654279555567
3,14,1,0.0025,0.0135,0.0005,334.5377192982859
4,14,1,0.0035,0.0135,0.0005,331.42524726858727
5,14,1,0.0045000000000000005,0.0135,0.0005,327.61629454478265
6,14,1,0.0055,0.0135,0.0005,323.3257711463436
7,14,1,0.006500000000000001,0.0135,0.0005,318.85915605813875
8,14,1,0.0075,0.0135,0.0005,314.54833446728577
9,14,1,0.0085,0.0135,0.0005,310.6814611112626
10,14,1,0.0095,0.0135,0.0005,307.45051868608357
11,14,1,0.0105,0.0135,0.0005,304.93101043433694
12,14,1,0.0115,0.0135,0.0005,303.0940754028103
13,14,1,0.0125,0.0135,0.0005,301.83983545715586
14,14,1,0.0135,0.0135,0.0005,301.03659263167657
15,14,1,0.0145,0.0135,0.0005,300.5533978890359
16,14,1,0.0155,0.0135,0.0005,300.27999746088653
17,14,1,0.0165,0.0135,0.0005,300.134305522925
18,14,1,0.0175,0.0135,0.0005,300.0610980003903
19,14,1,0.0185,0.0135,0.0005,300.0263721905953
20,14,1,0.0195,0.0135,0.0005,300.0108058206494
21,14,1,0.0205,0.0135,0.0005,300.00420508116014
22,14,1,0.021500000000000002,0.0135,0.0005,300.0015549264832
