x_index,y_index,z_index,temperature_k,source_tracer_mol_m3,ambient_tracer_mol_m3,tracer_sum_mol_m3,source_fraction
8,9,7,310.87598043732055,0.553378298310871,0.44662170168912874,0.9999999999999998,0.5533782983108712
9,9,7,307.9258944198606,0.40777545669477266,0.5922245433052271,0.9999999999999998,0.4077754566947728
10,9,7,305.4980843638004,0.2780158392836223,0.7219841607163775,0.9999999999999998,0.27801583928362233
11,9,7,303.6241206934402,0.17521138635802316,0.8247886136419768,0.9999999999999999,0.1752113863580232
12,9,7,302.2673728132488,0.1021162191235434,0.8978837808764565,0.9999999999999999,0.10211621912354342
13,9,7,301.3454589012163,0.055109339716993,0.9448906602830068,0.9999999999999998,0.055109339716993014
14,9,7,300.7569953103793,0.027587593115196946,0.9724124068848029,0.9999999999999999,0.02758759311519695
15,9,7,300.40378618410534,0.012835638120940037,0.98716436187906,1.0,0.012835638120940037
16,9,7,300.2042152922603,0.005561916740432237,0.9944380832595678,1.0,0.005561916740432237
17,9,7,300.09795046069297,0.0022491317020393396,0.9977508682979607,1.0,0.0022491317020393396
18,9,7,300.04457087092226,0.0008504273655544099,0.9991495726344457,1.0000000000000002,0.0008504273655544097
19,9,7,300.01924844286117,0.00030122834237254883,0.9996987716576275,1.0,0.00030122834237254883
20,9,7,300.0078928027552,0.00010012546007424439,0.9998998745399258,1.0,0.00010012546007424439
21,9,7,300.00307439148537,3.1281263691040514e-5,0.9999687187363089,0.9999999999999999,3.128126369104052e-5
22,9,7,300.0011381094321,9.199480619278664e-6,0.9999908005193807,1.0,9.199480619278664e-6
23,9,7,300.00040059844224,2.550224226874556e-6,0.9999974497757731,1.0,2.550224226874556e-6
24,9,7,300.00013413231994,6.672321862913611e-7,0.9999993327678136,0.9999999999999999,6.672321862913612e-7
25,9,7,300.00004274127286,1.649528863790086e-7,0.9999998350471136,1.0,1.649528863790086e-7
26,9,7,300.0000129667869,3.857302741550057e-8,0.9999999614269726,1.0,3.857302741550057e-8
27,9,7,300.00000374677677,8.540107526443557e-9,0.9999999914598925,1.0,8.540107526443557e-9
28,9,7,300.0000010315273,1.791737905543783e-9,0.999999998208262,0.9999999999999999,1.7917379055437833e-9
29,9,7,300.00000027067273,3.5649703637439444e-10,0.999999999643503,1.0,3.5649703637439444e-10
30,9,7,300.00000006771546,6.731495169851217e-11,0.999999999932685,0.9999999999999999,6.731495169851218e-11
31,9,7,300.00000001617576,1.207014004944719e-11,0.9999999999879298,0.9999999999999999,1.2070140049447191e-11
32,9,7,300.0000000039408,2.05914455399365e-12,0.9999999999979409,1.0,2.05914455399365e-12
1,9,8,328.9336022010215,0.9899160532868251,0.010083946713174863,1.0,0.9899160532868251
2,9,8,325.00985082768784,0.9784193946689796,0.021580605331020443,1.0,0.9784193946689796
3,9,8,322.109878093255,0.9608608110904647,0.039139188909535334,1.0,0.9608608110904647
4,9,8,319.45072846511636,0.9286819577914668,0.07131804220853322,1.0,0.9286819577914668
5,9,8,316.74520690137945,0.8714184851690518,0.12858151483094835,1.0000000000000002,0.8714184851690516
6,9,8,313.9586200215376,0.7820791053299335,0.2179208946700666,1.0,0.7820791053299335
7,9,8,311.18708120972224,0.6625077734445646,0.3374922265554355,1.0,0.6625077734445646
